t,x,y,z,vx,vy,vz
0.000000,1.000000,1.500000,0.070000,0.000000,0.000000,0.000000
0.100000,1.000000,1.425000,0.095000,0.000000,-1.500000,0.500000
0.200000,1.000000,1.200000,0.170000,0.000000,-3.000000,1.000000
0.300000,0.993750,0.850000,0.282500,-0.250000,-3.500000,1.000000
0.400000,0.943750,0.525000,0.357500,-0.750000,-3.000000,0.500000
0.500000,0.862500,0.256250,0.395000,-0.500000,-2.250000,0.500000
0.600000,0.843750,0.068750,0.463750,-0.250000,-1.750000,0.750000
0.700000,0.818750,-0.106250,0.538750,-0.250000,-1.750000,0.750000
0.800000,0.818750,-0.106250,0.538750,-0.250000,-1.750000,0.750000
0.900000,0.758594,-0.259375,0.585234,-1.125000,-1.750000,0.312500
1.000000,0.621875,-0.412500,0.593438,-2.000000,-1.750000,-0.125000
1.100000,0.447656,-0.555859,0.573125,-1.625000,-1.437500,-0.250000
1.200000,0.331250,-0.668750,0.551250,-1.250000,-1.250000,-0.250000
1.300000,0.331250,-0.668750,0.551250,-1.250000,-1.250000,-0.250000
1.400000,0.279980,-0.785937,0.593730,0.156250,-1.250000,1.156250
1.500000,0.283984,-0.903125,0.729766,-0.187500,-1.250000,1.687500
1.600000,0.251758,-1.020312,0.902617,-0.187500,-1.250000,1.687500
1.700000,0.278125,-1.137500,1.016875,0.750000,-1.250000,0.750000
1.800000,0.390625,-1.252930,1.045000,1.500000,-1.062500,0.000000
1.900000,0.531250,-1.308594,1.045000,1.500000,-0.125000,0.000000
2.000000,0.671777,-1.276660,1.045098,1.468750,0.718750,0.031250
2.100000,0.787500,-1.231250,1.070000,1.000000,0.250000,0.500000
2.200000,0.787500,-1.231250,1.070000,1.000000,0.250000,0.500000
2.300000,0.862500,-1.198437,1.093438,1.000000,0.625000,0.125000
2.400000,0.937500,-1.137500,1.088750,1.000000,1.000000,-0.250000
2.500000,1.012500,-1.062500,1.084063,1.000000,1.000000,0.125000
2.600000,1.087500,-0.987500,1.107500,1.000000,1.000000,0.500000
2.700000,1.087500,-0.987500,1.107500,1.000000,1.000000,0.500000
2.800000,1.115046,-0.848457,1.110123,-0.416667,1.944444,-0.444444
2.900000,1.008796,-0.620216,1.023549,-1.833333,2.888889,-1.388889
3.000000,0.820833,-0.354861,0.899861,-2.000000,2.583333,-1.083333
3.100000,0.631944,-0.133179,0.819846,-2.000000,2.111111,-0.611111
3.200000,0.444290,0.045139,0.783194,-1.888889,1.750000,-0.250000
3.300000,0.288194,0.210417,0.759583,-1.416667,1.750000,-0.250000
3.400000,0.176698,0.375694,0.735972,-0.944444,1.750000,-0.250000
3.500000,0.109799,0.533256,0.704645,-0.472222,1.472222,-0.527778
3.600000,0.087500,0.650000,0.632500,0.000000,1.000000,-1.000000
3.700000,0.087500,0.650000,0.632500,0.000000,1.000000,-1.000000
3.800000,0.087500,0.756641,0.564141,0.000000,1.437500,-0.562500
3.900000,0.087500,0.901563,0.534063,0.000000,1.875000,-0.125000
4.000000,0.077734,1.065234,0.522734,-0.312500,1.687500,-0.312500
4.100000,0.037500,1.200000,0.482500,-0.500000,1.500000,-0.500000
4.200000,0.037500,1.200000,0.482500,-0.500000,1.500000,-0.500000
4.300000,-0.009375,1.274707,0.457598,-0.500000,0.093750,-0.031250
4.400000,-0.056250,1.217578,0.476641,-0.500000,-1.312500,0.437500
4.500000,-0.086621,1.061621,0.523125,-0.093750,-1.906250,0.500000
4.600000,-0.089062,0.876563,0.546563,-0.125000,-1.875000,0.125000
4.700000,-0.122754,0.722754,0.580254,-0.593750,-1.406250,0.593750
4.800000,-0.200391,0.612891,0.657891,-1.062500,-0.937500,1.062500
4.900000,-0.298340,0.546777,0.771660,-0.718750,-0.531250,1.281250
5.000000,-0.343750,0.475000,0.913750,-0.250000,-1.000000,1.750000
5.100000,-0.343750,0.475000,0.913750,-0.250000,-1.000000,1.750000
5.200000,-0.346000,0.364750,1.010500,0.200000,-1.450000,0.400000
5.300000,-0.339750,0.230000,1.033750,-0.150000,-1.500000,0.250000
5.400000,-0.373500,0.095000,1.056250,-0.600000,-1.500000,0.250000
5.500000,-0.438500,-0.040000,1.078750,-0.700000,-1.500000,0.250000
5.600000,-0.481250,-0.175000,1.101250,-0.250000,-1.500000,0.250000
5.700000,-0.506250,-0.325000,1.126250,-0.250000,-1.500000,0.250000
5.800000,-0.531250,-0.475000,1.151250,-0.250000,-1.500000,0.250000
