t,x,y,z,vx,vy,vz
0.000000,1.000000,1.500000,0.070000,0.000000,0.000000,0.000000
0.100000,1.000000,1.434082,0.091973,0.000000,-1.406250,0.468750
0.200000,1.000000,1.236328,0.157891,0.000000,-2.812500,0.937500
0.300000,0.997559,0.918945,0.265313,-0.156250,-3.437500,1.250000
0.400000,0.960938,0.640625,0.382500,-0.625000,-2.500000,1.250000
0.500000,0.880371,0.438379,0.487871,-1.093750,-1.906250,0.906250
0.600000,0.757031,0.281250,0.550859,-1.375000,-1.500000,0.437500
0.700000,0.672070,0.140625,0.569902,-0.437500,-1.500000,-0.031250
0.800000,0.675000,0.000000,0.545000,0.500000,-1.500000,-0.500000
0.900000,0.675000,0.000000,0.545000,0.500000,-1.500000,-0.500000
1.000000,0.650000,-0.175000,0.520000,-1.000000,-2.000000,0.000000
1.100000,0.512500,-0.381250,0.538750,-1.000000,-1.750000,0.250000
1.200000,0.450000,-0.518750,0.557500,-1.000000,-1.250000,0.000000
1.300000,0.293750,-0.643750,0.551250,-1.750000,-1.250000,0.250000
1.400000,0.293750,-0.643750,0.551250,-1.750000,-1.250000,0.250000
1.500000,0.168750,-0.743750,0.601250,-0.750000,-0.750000,0.750000
1.600000,0.143750,-0.793750,0.701250,0.250000,-0.250000,1.250000
1.700000,0.150000,-0.825000,0.820000,-0.000000,-0.500000,1.000000
1.800000,0.150000,-0.900000,0.895000,-0.000000,-1.000000,0.500000
1.900000,0.150000,-1.000000,0.938750,-0.000000,-1.000000,0.250000
2.000000,0.156250,-1.100000,0.945000,0.250000,-1.000000,-0.000000
2.100000,0.206250,-1.200000,0.945000,0.750000,-1.000000,-0.000000
2.200000,0.306250,-1.300000,0.945000,1.250000,-1.000000,-0.000000
2.300000,0.456250,-1.350000,0.970000,1.750000,-0.000000,0.500000
2.400000,0.637500,-1.312500,1.032500,1.500000,0.500000,0.500000
2.500000,0.737500,-1.262500,1.057500,0.500000,0.500000,0.000000
2.600000,0.737500,-1.262500,1.057500,0.500000,0.500000,0.000000
2.700000,0.789062,-1.210937,1.057500,0.875000,0.875000,0.000000
2.800000,0.868750,-1.131250,1.057500,1.250000,1.250000,0.000000
2.900000,0.976562,-1.037500,1.057500,1.625000,1.250000,0.000000
3.000000,1.112500,-0.943750,1.057500,2.000000,1.250000,0.000000
3.100000,1.112500,-0.943750,1.057500,2.000000,1.250000,0.000000
3.200000,1.237500,-0.793750,1.032500,0.500000,1.750000,-0.500000
3.300000,1.212500,-0.593750,0.957500,-1.000000,2.250000,-1.000000
3.400000,1.050000,-0.431250,0.876250,-2.000000,1.250000,-0.750000
3.500000,0.831250,-0.318750,0.801250,-2.250000,1.250000,-0.750000
3.600000,0.606250,-0.168750,0.726250,-2.250000,1.750000,-0.750000
3.700000,0.387500,0.025000,0.651250,-2.000000,2.000000,-0.750000
3.800000,0.212500,0.225000,0.576250,-1.500000,2.000000,-0.750000
3.900000,0.087500,0.425000,0.501250,-1.000000,2.000000,-0.750000
4.000000,0.037500,0.575000,0.451250,0.000000,1.000000,-0.250000
4.100000,0.037500,0.575000,0.451250,0.000000,1.000000,-0.250000
4.200000,0.037500,0.700781,0.429375,0.000000,1.875000,-0.250000
4.300000,0.035937,0.895313,0.410625,-0.125000,2.125000,0.000000
4.400000,0.015625,1.053125,0.439141,-0.250000,1.750000,0.562500
4.500000,-0.000000,1.193750,0.501250,-0.000000,1.250000,0.750000
4.600000,-0.000000,1.193750,0.501250,-0.000000,1.250000,0.750000
4.700000,-0.021973,1.245020,0.615508,-0.468750,-0.156250,1.687500
4.800000,-0.084375,1.182031,0.803594,-0.750000,-0.625000,1.875000
4.900000,-0.152246,1.160059,0.942754,-0.593750,-0.156250,1.406250
5.000000,-0.187500,1.121875,1.091875,-0.250000,-0.750000,1.500000
5.100000,-0.210938,1.007617,1.188555,-0.250000,-1.687500,0.562500
5.200000,-0.234375,0.806250,1.198125,-0.250000,-2.500000,-0.250000
5.300000,-0.257813,0.579785,1.174688,-0.250000,-2.218750,-0.250000
5.400000,-0.281250,0.393750,1.151250,-0.250000,-1.750000,-0.250000
5.500000,-0.281250,0.393750,1.151250,-0.250000,-1.750000,-0.250000
5.600000,-0.314063,0.262500,1.132500,-0.625000,-1.750000,-0.250000
5.700000,-0.362500,0.131250,1.113750,-0.500000,-1.750000,-0.250000
5.800000,-0.387500,-0.001562,1.095000,-0.250000,-1.875000,-0.250000
5.900000,-0.406250,-0.156250,1.076250,-0.250000,-2.250000,-0.250000
6.000000,-0.431250,-0.381250,1.051250,-0.250000,-2.250000,-0.250000
6.100000,-0.456250,-0.606250,1.026250,-0.250000,-2.250000,-0.250000
