t,x,y,z,vx,vy,vz
0.000000,1.000000,1.500000,0.070000,0.000000,0.000000,0.000000
0.100000,0.975000,1.425000,0.095000,-0.500000,-1.500000,0.500000
0.200000,0.900000,1.200000,0.170000,-1.000000,-3.000000,1.000000
0.300000,0.787500,0.850000,0.282500,-1.000000,-3.500000,1.000000
0.400000,0.712500,0.525000,0.357500,-0.500000,-3.000000,0.500000
0.500000,0.687500,0.250000,0.382500,0.000000,-2.500000,0.000000
0.600000,0.662500,0.025000,0.407500,-0.500000,-2.000000,0.500000
0.700000,0.612500,-0.150000,0.457500,-0.500000,-1.500000,0.500000
0.800000,0.568750,-0.281250,0.507500,-0.250000,-1.250000,0.500000
0.900000,0.568750,-0.406250,0.557500,0.250000,-1.250000,0.500000
1.100000,0.559375,-0.500000,0.580938,-0.500000,-1.250000,0.125000
1.200000,0.493750,-0.593750,0.576250,-1.250000,-1.250000,-0.250000
1.300000,0.400000,-0.687500,0.559063,-1.250000,-1.250000,-0.125000
1.400000,0.306250,-0.781250,0.563750,-1.250000,-1.250000,0.250000
1.500000,0.233008,-0.876465,0.631133,-0.312500,-0.781250,1.187500
1.600000,0.240625,-0.931250,0.775859,0.250000,-0.500000,1.562500
1.700000,0.250000,-0.980566,0.914434,-0.000000,-0.656250,1.343750
1.800000,0.250000,-1.064063,1.018438,-0.000000,-1.125000,0.875000
1.900000,0.251758,-1.188867,1.078496,0.187500,-1.312500,0.406250
2.000000,0.313281,-1.267969,1.094609,1.125000,-0.375000,-0.062500
2.100000,0.438965,-1.275000,1.082598,1.218750,0.000000,0.031250
2.200000,0.531250,-1.275000,1.107500,0.750000,0.000000,0.500000
2.300000,0.639250,-1.254750,1.132250,1.650000,0.450000,0.050000
2.400000,0.819250,-1.196250,1.118750,1.950000,0.750000,-0.250000
2.500000,0.954250,-1.128750,1.096250,1.050000,0.750000,-0.250000
2.600000,1.026250,-1.052250,1.082750,0.750000,1.050000,0.050000
2.700000,1.106250,-0.943750,1.101250,1.250000,1.250000,0.250000
2.800000,1.157407,-0.803395,1.102562,-0.166667,1.722222,-0.222222
2.900000,1.074769,-0.618441,1.059275,-1.583333,2.194444,-0.694444
3.000000,0.869444,-0.391667,0.974167,-2.333333,2.500000,-1.000000
3.100000,0.671373,-0.155556,0.879722,-1.861111,2.500000,-1.000000
3.200000,0.517901,0.080556,0.785278,-1.388889,2.500000,-1.000000
3.300000,0.397917,0.305556,0.690833,-1.250000,2.166667,-1.000000
3.400000,0.279861,0.487886,0.596389,-1.250000,1.694444,-1.000000
3.500000,0.161883,0.625617,0.502099,-1.222222,1.222222,-0.944444
3.600000,0.068750,0.718750,0.457500,-0.750000,0.750000,0.000000
3.700000,0.026562,0.789062,0.457500,-0.375000,1.125000,0.000000
3.800000,0.012500,0.887500,0.457500,-0.000000,1.500000,0.000000
3.900000,0.023437,1.010938,0.457500,0.125000,1.625000,0.000000
4.000000,0.018750,1.118750,0.457500,-0.250000,1.250000,0.000000
4.100000,-0.006250,1.168750,0.482500,-0.250000,-0.250000,0.500000
4.200000,-0.031250,1.068750,0.557500,-0.250000,-1.750000,1.000000
4.300000,-0.081250,0.893750,0.582500,-0.750000,-1.750000,-0.500000
4.400000,-0.156250,0.718750,0.582500,-0.750000,-1.750000,0.500000
4.500000,-0.231250,0.543750,0.682500,-0.750000,-1.750000,1.500000
4.600000,-0.306250,0.393750,0.832500,-0.750000,-1.250000,1.500000
4.700000,-0.381250,0.293750,0.982500,-0.750000,-0.750000,1.500000
4.800000,-0.431250,0.193750,1.082500,-0.250000,-1.250000,0.500000
4.900000,-0.450000,0.100000,1.105938,-0.250000,-1.250000,0.125000
5.000000,-0.468750,0.006250,1.107500,-0.250000,-1.250000,0.000000
5.100000,-0.487500,-0.087500,1.107500,-0.250000,-1.250000,0.000000
5.200000,-0.506250,-0.181250,1.107500,-0.250000,-1.250000,0.000000
5.300000,-0.531250,-0.306250,1.107500,-0.250000,-1.250000,0.000000
5.400000,-0.556250,-0.431250,1.107500,-0.250000,-1.250000,0.000000
