t,x,y,z,vx,vy,vz
0.000000,1.000000,1.500000,0.070000,0.000000,0.000000,0.000000
0.100000,0.975000,1.450000,0.120000,-0.500000,-1.000000,1.000000
0.200000,0.912500,1.300000,0.251250,-0.500000,-2.000000,1.250000
0.300000,0.887500,1.050000,0.351250,0.000000,-3.000000,0.750000
0.400000,0.862500,0.750000,0.426250,-0.500000,-3.000000,0.750000
0.500000,0.806250,0.462500,0.495000,-0.250000,-2.500000,0.500000
0.600000,0.812500,0.256250,0.526250,0.000000,-1.750000,0.250000
0.700000,0.793750,0.100000,0.551250,-0.250000,-1.500000,0.250000
0.800000,0.768750,-0.050000,0.576250,-0.250000,-1.500000,0.250000
0.900000,0.768750,-0.050000,0.576250,-0.250000,-1.500000,0.250000
1.000000,0.693750,-0.200000,0.601250,-1.250000,-1.500000,0.250000
1.100000,0.543750,-0.350000,0.620000,-1.250000,-1.500000,0.000000
1.200000,0.450000,-0.493750,0.601250,-1.000000,-1.250000,-0.250000
1.300000,0.325000,-0.593750,0.576250,-1.500000,-0.750000,-0.250000
1.400000,0.225000,-0.693750,0.551250,-0.500000,-1.250000,-0.250000
1.500000,0.225000,-0.693750,0.551250,-0.500000,-1.250000,-0.250000
1.600000,0.200062,-0.789938,0.572625,-0.025000,-0.775000,0.700000
1.700000,0.216250,-0.849000,0.672250,0.250000,-0.700000,1.050000
1.800000,0.240000,-0.938063,0.749438,0.250000,-1.175000,0.575000
1.900000,0.263750,-1.054000,0.799750,0.250000,-1.100000,0.650000
2.000000,0.287500,-1.135938,0.884063,0.250000,-0.625000,1.125000
2.100000,0.323500,-1.185000,0.989000,0.600000,-0.500000,0.900000
2.200000,0.403062,-1.231938,1.051938,1.075000,-0.425000,0.425000
2.300000,0.527750,-1.249750,1.069750,1.550000,0.050000,-0.050000
2.400000,0.682437,-1.230000,1.057563,1.475000,0.250000,0.025000
2.500000,0.800000,-1.206250,1.082500,1.000000,0.250000,0.500000
2.600000,0.800000,-1.206250,1.082500,1.000000,0.250000,0.500000
2.700000,0.875000,-1.173438,1.105938,1.000000,0.625000,0.125000
2.800000,0.950000,-1.112500,1.101250,1.000000,1.000000,-0.250000
2.900000,1.037500,-1.037500,1.107500,1.250000,1.000000,0.250000
3.000000,1.131250,-0.962500,1.126250,1.250000,1.000000,0.250000
3.100000,1.131250,-0.962500,1.126250,1.250000,1.000000,0.250000
3.200000,1.204707,-0.823457,1.105262,0.305556,1.944444,-0.694444
3.300000,1.188966,-0.602778,1.002639,-0.638889,2.500000,-1.250000
3.400000,1.084028,-0.366667,0.884583,-1.583333,2.500000,-1.250000
3.500000,0.905015,-0.160802,0.781651,-2.138889,1.722222,-0.861111
3.600000,0.693750,-0.003627,0.709583,-2.250000,1.861111,-0.750000
3.700000,0.482639,0.193056,0.639444,-2.083333,2.166667,-0.666667
3.800000,0.329861,0.375694,0.598472,-1.250000,1.750000,-0.250000
3.900000,0.219522,0.525540,0.567145,-0.972222,1.194444,-0.527778
4.000000,0.150000,0.593750,0.495000,-0.500000,0.250000,-1.000000
4.100000,0.150000,0.593750,0.495000,-0.500000,0.250000,-1.000000
4.200000,0.100000,0.668750,0.420000,-0.500000,1.250000,-0.500000
4.300000,0.056250,0.831250,0.401250,-0.250000,1.750000,0.250000
4.400000,0.056250,1.000000,0.451250,0.250000,1.500000,0.250000
4.500000,0.081250,1.175000,0.476250,0.250000,2.000000,0.250000
4.600000,0.081250,1.175000,0.476250,0.250000,2.000000,0.250000
4.700000,0.060262,1.319290,0.522160,-0.694444,1.055556,0.722222
4.800000,-0.038580,1.374383,0.612670,-1.055556,0.111111,1.194444
4.900000,-0.115972,1.340278,0.747778,-0.583333,-0.833333,1.666667
5.000000,-0.163889,1.243364,0.910432,-0.500000,-1.277778,1.611111
5.100000,-0.211111,1.078086,1.040293,-0.500000,-2.222222,1.138889
5.200000,-0.258333,0.868056,1.114444,-0.500000,-1.833333,0.333333
5.300000,-0.296219,0.720833,1.120000,-0.194444,-1.500000,-0.000000
5.400000,-0.292361,0.579244,1.119923,0.250000,-1.472222,-0.027778
5.500000,-0.268750,0.462500,1.095000,0.250000,-1.000000,-0.500000
5.600000,-0.268750,0.462500,1.095000,0.250000,-1.000000,-0.500000
5.700000,-0.266500,0.352250,1.070250,-0.200000,-1.450000,-0.050000
5.800000,-0.302500,0.206000,1.083750,-0.500000,-1.600000,0.250000
5.900000,-0.347500,0.081250,1.106250,-0.500000,-1.250000,0.250000
6.000000,-0.392500,-0.031500,1.128500,-0.500000,-1.300000,0.200000
6.100000,-0.437500,-0.168750,1.126250,-0.500000,-1.750000,-0.250000
6.200000,-0.487500,-0.343750,1.101250,-0.500000,-1.750000,-0.250000
6.300000,-0.537500,-0.518750,1.076250,-0.500000,-1.750000,-0.250000
