t,x,y,z,vx,vy,vz
0.000000,1.000000,1.500000,0.070000,0.000000,0.000000,0.000000
0.100000,1.000000,1.455401,0.114599,0.000000,-0.944444,0.944444
0.200000,1.000000,1.321605,0.208889,0.000000,-1.888889,1.000000
0.300000,0.982639,1.098611,0.303333,-0.416667,-2.833333,1.000000
0.400000,0.936111,0.831790,0.382654,-0.500000,-2.611111,0.611111
0.500000,0.888889,0.594444,0.431111,-0.500000,-2.500000,0.500000
0.600000,0.841667,0.369444,0.478333,-0.500000,-2.166667,0.500000
0.700000,0.794444,0.187114,0.516219,-0.500000,-1.694444,0.194444
0.800000,0.754938,0.041744,0.520000,-0.222222,-1.472222,0.000000
0.900000,0.756250,-0.075000,0.520000,0.250000,-1.000000,0.000000
1.000000,0.756250,-0.075000,0.520000,0.250000,-1.000000,0.000000
1.100000,0.738250,-0.185250,0.520000,-0.650000,-1.450000,0.000000
1.200000,0.639250,-0.320000,0.520000,-1.550000,-1.500000,0.000000
1.300000,0.496000,-0.442750,0.520000,-1.400000,-1.150000,0.000000
1.400000,0.381250,-0.535250,0.520000,-1.250000,-1.050000,0.000000
1.500000,0.268750,-0.650000,0.520000,-1.250000,-1.500000,0.000000
1.600000,0.268750,-0.650000,0.520000,-1.250000,-1.500000,0.000000
1.700000,0.193750,-0.775000,0.570000,-0.250000,-1.000000,1.000000
1.800000,0.218750,-0.875000,0.670000,0.750000,-1.000000,1.000000
1.900000,0.275000,-0.975000,0.770000,0.500000,-1.000000,1.000000
2.000000,0.300000,-1.075000,0.870000,0.000000,-1.000000,1.000000
2.100000,0.300000,-1.175000,0.970000,0.000000,-1.000000,1.000000
2.200000,0.350000,-1.225000,1.070000,1.000000,-0.000000,1.000000
2.300000,0.500000,-1.225000,1.120000,2.000000,-0.000000,0.000000
2.400000,0.675000,-1.225000,1.120000,1.500000,-0.000000,0.000000
2.500000,0.675000,-1.225000,1.120000,1.500000,-0.000000,0.000000
2.600000,0.787500,-1.196875,1.120000,1.500000,0.750000,0.000000
2.700000,0.900000,-1.125000,1.120000,1.500000,1.000000,0.000000
2.800000,1.009375,-1.050000,1.120000,1.250000,1.000000,0.000000
2.900000,1.075000,-0.975000,1.120000,0.500000,1.000000,0.000000
3.000000,1.075000,-0.975000,1.120000,0.500000,1.000000,0.000000
3.100000,1.075000,-0.825000,1.070000,-0.500000,2.000000,-1.000000
3.200000,0.975000,-0.575000,0.970000,-1.500000,3.000000,-1.000000
3.300000,0.825000,-0.300000,0.870000,-1.500000,2.500000,-1.000000
3.400000,0.675000,-0.075000,0.770000,-1.500000,2.000000,-1.000000
3.500000,0.525000,0.125000,0.695000,-1.500000,2.000000,-0.500000
3.600000,0.375000,0.325000,0.645000,-1.500000,2.000000,-0.500000
3.700000,0.250000,0.475000,0.595000,-1.000000,1.000000,-0.500000
3.800000,0.150000,0.575000,0.545000,-1.000000,1.000000,-0.500000
3.900000,0.150000,0.575000,0.545000,-1.000000,1.000000,-0.500000
4.000000,0.075000,0.725000,0.520000,-0.500000,2.000000,0.000000
4.100000,0.050000,0.925000,0.520000,-0.000000,2.000000,0.000000
4.200000,0.068750,1.087500,0.495000,0.250000,1.500000,-0.500000
4.300000,0.043750,1.237500,0.445000,-0.750000,1.500000,-0.500000
4.400000,0.043750,1.237500,0.445000,-0.750000,1.500000,-0.500000
4.500000,-0.051818,1.335651,0.443278,-1.232143,0.535714,0.464286
4.600000,-0.129209,1.340816,0.512985,-0.321429,-0.428571,0.964286
4.700000,-0.185714,1.280644,0.625357,-0.750000,-0.553571,1.250000
4.800000,-0.254847,1.247321,0.745893,-0.571429,-0.250000,1.250000
4.900000,-0.289286,1.220631,0.866429,-0.250000,-0.410714,1.250000
5.000000,-0.313393,1.159821,0.986964,-0.250000,-0.750000,1.250000
5.100000,-0.335938,1.084375,1.104375,-0.125000,-1.000000,1.000000
5.200000,-0.325893,0.946046,1.154311,0.250000,-1.535714,0.035714
5.300000,-0.302583,0.842857,1.112857,0.160714,-0.750000,-0.750000
5.400000,-0.300000,0.770536,1.040536,-0.000000,-0.750000,-0.750000
5.500000,-0.299713,0.689286,0.968788,0.053571,-1.000000,-0.642857
5.600000,-0.279464,0.592857,0.936964,0.250000,-1.000000,-0.250000
5.700000,-0.255389,0.496429,0.912889,0.232143,-1.000000,-0.232143
5.800000,-0.256250,0.400000,0.913750,-0.250000,-1.000000,0.250000
5.900000,-0.256250,0.400000,0.913750,-0.250000,-1.000000,0.250000
6.000000,-0.306250,0.250000,0.963750,-0.750000,-2.000000,0.750000
6.100000,-0.381250,0.075000,1.013750,-0.750000,-1.500000,0.250000
6.200000,-0.431250,-0.075000,1.063750,-0.250000,-1.500000,0.750000
6.300000,-0.481250,-0.200000,1.113750,-0.750000,-1.000000,0.250000
6.400000,-0.556250,-0.300000,1.138750,-0.750000,-1.000000,0.250000
6.500000,-0.631250,-0.400000,1.163750,-0.750000,-1.000000,0.250000
